년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
202008,20평 미만,2647.1427,787850,49,982.1552121085124
202008,20~30평,1565.3511,468000,19,986.6157183522597
202008,30~40평,542.41,119900,5,729.4666396268506
202009,20평 미만,2710.4137,815700,49,993.1362138554715
202009,20~30평,1396.8400000000001,420250,17,992.8302454110707
202009,30~40평,313.07,61900,3,652.4738876289647
202010,20평 미만,3266.171,985765,62,995.9749504848338
202010,20~30평,1817.4941,546600,22,992.4543909110902
202010,30~40평,645.77,164700,6,841.6464066153584
202011,20평 미만,3839.074,1155750,74,993.4622255262595
202011,20~30평,2260.2578,683450,28,997.8441397260082
202011,30~40평,447.14,135050,4,996.7012568770407
202012,20평 미만,3835.154,1172850,72,1009.1915474580682
202012,20~30평,1873.6631,594250,23,1046.626258477311
202012,30~40평,213.8,46000,2,710.0093545369504
202101,20평 미만,3546.074,1075420,68,1000.7929896556021
202101,20~30평,1694.247,514750,21,1002.6135504445335
202101,30~40평,567.64,170300,5,990.046508350363
202102,20평 미만,4309.9367,1346028,78,1030.6166213531626
202102,20~30평,2445.5856,729950,30,984.9726789362842
202102,30~40평,557.95,152800,5,903.7368939869161
202103,20평 미만,7228.906,2282097,136,1041.7786730108262
202103,20~30평,3769.4348,1147750,48,1004.8124456218211
202103,30~40평,443.42,117000,4,870.7320373460826
202104,20평 미만,6002.255,1949690,112,1071.9266342399646
202104,20~30평,2712.8036,837450,35,1018.7191582907069
202104,30~40평,427.88,107000,4,825.2313732822287
202105,20평 미만,5613.939,1813500,109,1066.0162142837676
202105,20~30평,2846.8571,854150,36,990.1076524002557
202105,30~40평,114.53,33500,1,965.2492796647166
202106,20평 미만,5785.004,1865150,116,1063.9569134265075
202106,20~30평,1803.8112,632350,23,1156.8588774701032
202106,30~40평,114.81,41800,1,1201.4632871701072
202107,20평 미만,4256.1694,1513600,84,1173.562311688064
202107,20~30평,2089.209,734150,26,1159.6230918017297
202107,30~40평,114.53,46000,1,1325.4169213306554
202108,20평 미만,3806.574,1465600,74,1270.559826237451
202108,20~30평,1620.068,626150,20,1275.4372038704548
202109,20평 미만,2529.1564,970390,49,1266.1482698341629
202109,20~30평,1027.3441,394300,13,1266.5571350436528
202109,30~40평,213.8,65400,2,1009.448082319925
202110,20평 미만,2039.457,814550,44,1318.005233746041
202110,20~30평,829.298,354200,10,1409.457155328965
202110,30~40평,114.53,46500,1,1339.823626997293
202111,20평 미만,2085.2926,912600,40,1444.2002048057907
202111,20~30평,376.628,181000,5,1585.9150142846522
202111,30~40평,223.74,101800,2,1501.474926253687
202112,20평 미만,1177.773,498400,23,1396.4660422679074
202112,20~30평,931.578,365468,12,1294.6252487714394
202112,30~40평,114.53,46500,1,1339.823626997293
202201,20평 미만,1016.973,426450,20,1383.7977999415914
202201,20~30평,550.798,188900,7,1131.7579221420556
202201,30~40평,114.53,46000,1,1325.4169213306554
202202,20평 미만,1831.8056,714350,37,1286.9023874585819
202202,20~30평,461.096,189500,6,1356.2251678609227
202202,30~40평,229.06,90500,2,1303.8068628306994
202203,20평 미만,2580.455,1025930,50,1312.0046658438143
202203,20~30평,549.576,201300,7,1208.731822350321
