년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201811,40~50평,147.01,31000,1,695.8710291816883
201811,50평 이상,167.26,33900,1,668.8389333971063
201812,20평 미만,5311.4429,1669350,102,1037.1673203904722
201812,20~30평,6393.2259,1897200,79,979.2802722644291
201812,30~40평,1303.1298,386450,11,978.6323664764632
201812,40~50평,1026.904,253350,7,814.151079360875
201901,20평 미만,5031.6488,1407498,108,923.105642826264
201901,20~30평,6741.3632,2018900,82,988.2823106163454
201901,30~40평,1178.8887,351200,10,983.0953507315829
201901,40~50평,740.8251,167200,5,744.7911794565275
201902,20평 미만,5074.9677,1452535,99,944.511528615246
201902,20~30평,5731.2853,1757200,69,1011.7730485341568
201902,30~40평,2269.5191,632400,19,919.5428229707343
201902,40~50평,285.85,75050,2,866.4159524225992
201903,20평 미만,6250.8653,1865160,120,984.6681546633231
201903,20~30평,7462.1043,2378860,92,1052.0139741279145
201903,30~40평,3009.648,836600,25,917.3099312610642
201903,40~50평,1196.0626,291200,8,803.4362081048266
201904,20평 미만,7231.1364,2229075,137,1017.2602331218643
201904,20~30평,6768.3812,2033720,83,991.5629456567842
201904,30~40평,2396.9586,638250,20,878.7072918155533
201904,40~50평,747.1326,174300,5,769.8633415273272
201904,50평 이상,167.26,28500,1,562.2982183427
201905,20평 미만,6269.8669,1916755,119,1008.8398367754825
201905,20~30평,8291.9464,2521650,101,1003.5575000822483
201905,30~40평,2394.2267,736400,20,1014.9916045961728
201905,40~50평,279.99,65100,2,767.2774027643843
201905,50평 이상,334.52,67100,2,661.933516680617
201906,20평 미만,6597.7927,2080275,123,1040.485479333111
201906,20~30평,9184.931,2864940,112,1029.3274930426803
201906,30~40평,2363.4079,704750,20,984.0345375844769
201906,40~50평,868.6451,201600,6,765.8824069807105
201907,20평 미만,5628.5476,1714740,107,1005.3467434476346
201907,20~30평,7424.495,2253490,91,1001.6192347088926
201907,30~40평,2070.4588,585900,17,933.836500393053
201907,40~50평,1001.77,233200,7,768.2002854946744
201908,20평 미만,9322.1775,3452405,169,1222.1325436036805
201908,20~30평,11927.271,4062400,145,1123.9721139898638
201908,30~40평,2979.5203,883100,25,978.0869759471012
201908,40~50평,586.6213,133000,4,748.1828566402208
201908,50평 이상,167.26,31900,1,629.3794093028818
201909,20평 미만,4897.9592,1514085,93,1020.1147653496173
201909,20~30평,8472.1406,2809094,103,1094.1756797567782
201909,30~40평,2002.356,620100,17,1021.9611297891083
201909,40~50평,575.2051,134100,4,769.342970011914
201910,20평 미만,8608.0564,2637825,163,1011.2413413090555
201910,20~30평,10659.6622,3522350,129,1090.4430911516124
201910,30~40평,2853.8468,845650,24,977.8538217258194
201910,40~50평,599.52,124000,4,682.5460368294636
201910,50평 이상,167.26,33500,1,660.9470285782614
201911,20평 미만,9489.2786,2895160,175,1006.8234270200477
201911,20~30평,12605.8176,4128510,153,1080.7774181977693
201911,30~40평,3856.5349,1175800,32,1006.1208054930347
201911,40~50평,1382.9364,331950,9,792.1080101731359
201912,20평 미만,10107.1197,3485270,192,1137.9494199519572
201912,20~30평,16088.2815,5732250,193,1175.789036262201
201912,30~40평,3790.3761,1156150,32,1006.5742552566222
201912,40~50평,1490.8013,365400,10,808.8401854760925
201912,50평 이상,382.657,114000,2,983.1258803576048
202001,20평 미만,9410.4259,3418465,176,1198.7698133832603
202001,20~30평,12579.9845,4491220,150,1178.1434229907038
202001,30~40평,5126.1473,1707800,43,1099.4104675844958
202001,40~50평,739.2513,193850,5,865.3417315600256
202001,50평 이상,334.52,64000,2,631.352385507593
202002,20평 미만,21972.763600000002,8319765,477,1249.5116681635802
202002,20~30평,25432.4228,9084578,305,1178.7751263713656
202002,30~40평,10198.998,3163250,86,1023.5049560750967
202002,40~50평,3328.7386,855750,23,848.3618990088318
202002,50평 이상,334.52,65800,2,649.1091713499941
202003,20평 미만,14266.7969,4614425,263,1067.3455721515177
202003,20~30평,15574.7225,5250200,188,1112.421746198046
202003,30~40평,5661.7947,1772470,49,1033.0913270309854
202003,40~50평,2494.7406,642250,17,849.5572645909558
202003,50평 이상,334.52,66300,2,654.0416118617721
202004,20평 미만,11866.5492,3660120,223,1017.8524351460154
202004,20~30평,15227.5032,5175110,185,1121.5143267873357
202004,30~40평,3863.1135,1080150,33,922.7000449249031
202004,40~50평,2208.7204,569950,15,851.5496121645817
202004,50평 이상,501.78,101400,3,666.8659571923951
202005,20평 미만,13122.3348,4081366,248,1026.3804426023332
202005,20~30평,16710.48,5633150,203,1112.439319516854
202005,30~40평,2562.2606,796430,21,1025.74226837036
202005,40~50평,2155.7015,539800,15,826.338897106116
202005,50평 이상,669.04,139100,4,686.1024751883295
202006,20평 미만,21067.9499,6323455,391,990.480877306434
202006,20~30평,24874.8357,8376534,303,1111.2661218502037
202006,30~40평,4874.4123,1459150,41,987.8513969776418
202006,40~50평,2398.2555,658300,17,905.8209185801929
202006,50평 이상,167.26,35700,1,704.3525050819084
202007,20평 미만,11519.7465,3569970,220,1022.6701603199341
202007,20~30평,14028.0202,4565350,172,1073.9687272477693
202007,30~40평,4607.8409,1266550,38,907.0658233881295
202007,40~50평,2037.2802000000001,534550,14,865.8676405925899
202008,20평 미만,6899.0421,1971890,142,943.2087680694108
202008,20~30평,9803.5175,3362580,121,1131.8910788908163
202008,30~40평,2616.0978,747000,22,942.281286273013
202008,40~50평,2561.0026,625795,17,806.3730587387925
202009,20평 미만,7415.7694,2207710,140,982.425774997804
202009,20~30평,11241.5592,3648845,135,1071.131529512383
202009,30~40평,1829.1061,509900,15,919.9411668902094
202009,40~50평,574.084,148400,4,853.0458957225771
202009,50평 이상,167.26,38000,1,749.7309577902666
202010,20평 미만,9679.0054,3064515,185,1044.8283766842405
202010,20~30평,10255.9174,3354070,124,1079.223882984861
202010,30~40평,2035.4811,688450,17,1116.1415352861786
202010,40~50평,710.6051,179750,5,834.7463309790487
202010,50평 이상,167.26,39000,1,769.4607198373789
202011,20평 미만,9461.9819,2806500,176,978.8065648276075
202011,20~30평,11158.4608,4161500,134,1230.720817695573
202011,30~40평,2529.5091,883950,22,1153.202018526045
202011,40~50평,709.4651,212400,5,987.9555738541613
202011,50평 이상,334.52,81500,2,803.9878034198255
202012,20평 미만,10566.4454,3693915,202,1153.644299340249
202012,20~30평,13195.0048,4998710,161,1250.1505872889109
202012,30~40평,3673.6303,1426499,31,1281.4154706857682
202012,40~50평,1242.0466000000001,356272,9,946.5809092831138
202012,50평 이상,167.26,34900,1,688.5686954442186
202101,20평 미만,10488.1166,3446950,204,1084.5545900967577
202101,20~30평,12490.2042,4910500,151,1297.388716831387
202101,30~40평,5334.5633,1918550,44,1186.829107454775
202101,40~50평,1884.7103,564300,13,988.0510548491192
202101,50평 이상,198.833,88000,1,1460.522146726147
202102,20평 미만,12616.6545,4565544,237,1194.1592915935043
202102,20~30평,15158.1918,5656754,184,1231.4983506146161
202102,30~40평,2743.223,886400,24,1066.307770093791
202102,40~50평,1476.2913,412850,10,922.8564850311045
202102,50평 이상,167.26,46000,1,907.5690541671648
202103,20평 미만,18077.3366,6033212,343,1101.3569111724123
202103,20~30평,20300.2247,7361177,249,1196.6312914753107
202103,30~40평,5393.5845,1749621,45,1070.484628543411
202103,40~50평,1750.0802,559800,12,1055.5744816723256
202103,50평 이상,501.78,132200,3,869.4248475427478
202104,20평 미만,16170.7562,5202820,315,1061.7503465917073
202104,20~30평,16402.5817,5953600,201,1197.7919305227422
202104,30~40평,3288.8095,1179750,28,1183.7642162004215
202104,40~50평,760.37,216600,5,940.0423478043583
202104,50평 이상,366.09299999999996,136800,2,1233.1292868205621
202105,20평 미만,14184.8027,4412259,267,1026.482708850085
202105,20~30평,14001.7047,5416800,175,1276.6616910582322
202105,30~40평,2886.7125,1103400,24,1261.3725821327894
202105,40~50평,1884.5802,583400,13,1021.5643781039404
202105,50평 이상,334.52,91500,2,902.6366136553868
